"gene","gene.name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C102590CA","pyridoxine biosynthesis protein",28052.7950017401,2.54775475869522,0.252792517694318,3.84670769979093e-25,2.56532662379391e-22
"CAALFM_C102600WA","putative pyridoxal 5'-phosphate synthase",2442.20991117495,1.18964710270245,0.284417283893628,1.15709795369823e-06,0.000578741826508065
"CAALFM_C203370WA","trifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase/thiaminase",3682.20428227489,4.44664348681278,0.228356911327003,1.12248964271744e-85,1.12286380593167e-82
"CAALFM_C204580WA","bifunctional (2E,6E)-farnesyl diphosphate synthase/dimethylallyltranstransferase",5087.6829200704,1.01387574707007,0.174453836270195,2.80012835012787e-10,1.52785185067886e-07
"CAALFM_C302860WA","bifunctional hydroxyethylthiazole kinase/thiamine-phosphate diphosphorylase",4665.24953001509,4.68173370830887,0.199923344941317,1.67974541333827e-122,3.36061065695209e-119
"CAALFM_C302870CA","uncharacterized protein",303.654551331314,1.20927705398957,0.391277368141828,6.79351446170846e-05,0.0313651336916724
"CAALFM_C305130CA","thiamine thiazole synthase",148044.565079694,11.5456384262279,0.517948606619506,2.79421286485899e-111,4.19271640372092e-108
"CAALFM_C404220WA","Duo1p",320.155908111694,1.71097878786805,0.257620380479919,1.4019716214366e-12,8.41463367186246e-10
"CAALFM_C404230WA","uncharacterized protein",7902.06011388958,5.16279122201147,0.204469980764911,3.91055951743083e-142,2.34711782236198e-138
"CAALFM_C503480CA","uncharacterized protein",19328.82791983,3.88761275460135,0.199081798742485,1.90461341674423e-86,2.28629794545978e-83
"CAALFM_CR09290WA","4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase",71545.15853897,9.30994985717376,0.49680353291102,1.50458492473612e-79,1.29007410260946e-76
"CAALFM_CR09350CA","uncharacterized protein",1174.7420332167,8.17393601576186,0.338096693096044,4.20526180615824e-129,1.26199906802809e-125
"CAALFM_CR09360WA","Fcy24p",7084.39049298342,6.34557052818135,0.499956647507527,3.50767659617695e-38,2.63163436628176e-35
